Date    		PMI
Nov 01, 2009	56.70	 	55.90	
Oct 01, 2009	55.90	 	52.40	
Sep 01, 2009	52.40	 	54.30	
Aug 01, 2009	54.30	 	50.50	
Jul 01, 2009	50.50	 	43.70	
Jun 01, 2009	43.70	 	38.80	
May 01, 2009	38.80	 	36.70	
Apr 01, 2009	36.70	 	33.90	
Mar 01, 2009	33.90	 	33.80	
Feb 01, 2009	33.80	 	32.70	
Jan 01, 2009	32.70	 	33.10	
Dec 01, 2008	33.10	 	39.00	
Nov 01, 2008	39.00	 	42.30	
Oct 01, 2008	42.30	 	46.40	
Sep 01, 2008	46.40	 	48.60	
Aug 01, 2008	48.60	 	50.60	
Jul 01, 2008	50.60	 	51.20	
Jun 01, 2008	51.20	 	50.10	
May 01, 2008	50.10	 	54.70	
Apr 01, 2008	54.70	 	55.70	
Mar 01, 2008	55.70	 	54.60	
Feb 01, 2008	54.60	 	55.50	
Jan 01, 2008	55.50	 	55.10	
